"Name","Density","H","He","Li","Be","B","C","N","O","F","Ne","Na","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Br","Kr","Rb","Sr","Y","Zr","Nb","Mo","Tc","Ru","Rh","Pd","Ag","Cd","In","Sn","Sb","Te","I","Xe","Cs","Ba","La","Ce","Pr","Nd","Pm","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Re","Os","Ir","Pt","Au","Hg","Tl","Pb","Bi","Po","At","Rn","Fr","Ra","Ac","Th","Pa","U","Np","Pu"
"K1234",,,,,,,,,0.398499995,,,,,0.091499999,0.215599999,,,,,,0.123599999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154899999,,,,,,,,,,,,,,,,,,0.015900001,,,,,,,,,,,,,,,,,,,,
"K1235",,,,,,,,,0.3917,,,,,0.088600002,0.211600006,,,,,,0.1215,,,,,,,,,,,,,,,,,,,,,,,,,,0.0174,,,,,,,,,,0.1523,,,,,,,,,,,,,,,,0.017000001,,,,,,,,,,,,,,,,,,,,,,
"K1236",,,,,,,,,0.212699994,,,,,,,,,,,,,0.0065,,,,,,,,,,,0.409500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.371300012,,,,,,,,,,,,
"K1404",,,,,,,,,0.280241013,,,,,,0.158938006,,,,,,,,,,,,,,,,0.128538996,,,,,,,,,,0.074029997,,,,,,,,,,,,,,,,0.358251989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K1451",,,,0.000093,,,,,0.459434003,,,0.014837,0.024123,0.132306993,0.249532998,,,,,0.033206001,0.021441,,0.002997,0.00112,0.001368,0.003872,0.027977001,0.001421,0.001572,,,,,,,,,0.001562,0.001691,,0.001481,0.001398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018565999,,,,,,,,,,,,
"K1504",,,,0.025549,,,,,0.478680015,,,,0.120614998,0.007938,0.289828986,,,,,,0.003573,,,,,0.003872,0.069944002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K1541",,,,0.000093,,,,,0.461006999,,,0.014837,0.024123,0.132306993,0.249532998,,,,,0.033206001,0.021441,,0.002997,0.00112,0.001368,0.003872,0.027977001,0.001421,,,,,,,,,,0.001562,0.001691,,0.001481,0.001398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018565999,,,,,,,,,,,,
"K1546",,,,,,,,,0.432599992,,,,0.072400004,0.050500002,0.182300001,0.028200001,,,,,0.0858,,0.029999999,0.0112,,0.0126,,0.0142,,0.016000001,0.064300001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K1597",,,,,,,,,0.432900012,,,,0.1206,,0.280499995,,,,,0.165999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K1601",,,,,,,,,0.435175002,,,0.074184999,,0.079383999,0.217371002,,,,,,0.107203998,,,0.028007001,,0.031597,,0.007106,,0.019971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K1788",,,,,,,,,0.365999997,,,,0.0603,0.105800003,0.140200004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327600002,,,,,,,,,,,,,,,,,,,,,
"K2115",,,,,,,,,0.176400006,,,,,,0.093500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.371300012,0.358799994,,,,,,,,,,,
"K227",,,,,,,,,0.163900003,,,,,,0.093500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.742699981,,,,,,,,,,,,
"K229",3,,,,,,,,0.209900007,,,,,,0.140200004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649800003,,,,,,,,,,,,
"K230",,,,,,,,,0.244900003,,,,,0.0265,0.140200004,,,,,,,,,,,,,,,,0.040199999,,,,,,,,,,,,,,,,,,,,,,,,,,0.089599997,,,,,,,,,,,,,,,,,0.040899999,,,,,,,,,0.417699993,,,,,,,,,,,,
"K2307",,,,,,,,,,,,,,0.079383999,0.257106006,,,,,,0.107203998,,0.029975001,,,0.031597,,,,,0.040167999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2307_1",,,,,,,,,0.454600006,,,,,0.079400003,0.257099986,,,,,,0.107199997,,0.029999999,,,0.031599998,,,,,0.040199999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K240",,,,,,,,,0.340000004,,,,0.030200001,,0.187000006,,,,,,,,0.059999999,,,,,,,,0.040199999,,,,,,,,,,0.074000001,,,,,,,,,,,,,,,,0.268700004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2466",,,,,,,,,0.316399992,,,,,,0.205699995,,,,,,,,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429899991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2467",,,,,,,,,0.314300001,,,,,,0.198200002,,,,,,,,0.057599999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429899991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2468",,,,,,,,,0.311199993,,,,,,0.187000006,,,,,,,,0.071900003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429899991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2469",,,,,,,,,0.305900007,,,,,,0.168300003,,,,,,,,0.095899999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429899991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2472",,,,,,,,,,,,,,,0.168288007,,,,,,,,0.059950002,0.033599999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429899991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K249",,,,,,,,,0.244900003,,,,,0.0265,0.140200004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089599997,,,,,,,,,,,,,,,,,0.081900001,,,,,,,,,0.394499987,0.022399999,,,,,,,,,,,
"K2496",,,,,,,,,0.323000014,,,,,,0.229100004,,,,,,,,0.017999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429899991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K251",,,,,,,,,0.230199993,,,,,0.0132,0.140200004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089599997,,,,,,,,,,,,,,,,,0.040899999,,,,,,,,,0.441000015,0.044799998,,,,,,,,,,,
"K252",,,,,,,,,0.308299989,,,,,,0.187000006,,,,,,,,,,,0.031599998,,0.039299998,,0.039900001,0.080300003,,,,,,,,,,,,,,,,,,,,,,,,,,0.313499987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K253",,,,,,,,,0.316399992,,,,,,0.187000006,,,,,,,,,,,0.063199997,,0.0197,,0.02,0.080300003,,,,,,,,,,,,,,,,,,,,,,,,,,0.313499987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2536",,,,,,,,,0.291299999,,,,,,0.116899997,,,,,,,,0.161899999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429899991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2538",,,,,,,,,0.298000008,,,,,,0.140200004,,,,,,,,0.131899998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429899991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2573",,,,,,,,,0.339300007,,,0.073100001,,,0.223100007,,,,,,,,,,,,,,,,0.034600001,,,,,,,,,,,,,,,,,,,,,,,,,,0.072700001,,,,0.257200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2575",,,,,,,,,0.336199999,,,0.073100001,,,0.223100007,,,,,,,,,,,,,,,,0.034600001,,,,,,,,,,,,,,,,,,,,,,,,,,0.072700001,,,,,,,,0.26030001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2577",,,,,,,,,0.367599994,,,,0.0603,0.105800003,0.140200004,,,,,,,,,,,,,,,,0.080300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245700002,,,,,,,,,,,,,,,,,,,,,
"K2580",3,,,0.046500001,,,,,0.35589999,,,,,,0.187000006,,,,,,,,,,,,,,,,,,0.069399998,,,,,,,,0.074000001,,,,,,,,,,,,,,,,0.089599997,,,,,,,,,,,,,,,,0.084799998,,,,,,,,,,0.092799999,,,,,,,,,,,,
"K2612",,,,,,,,,0.337799996,,,0.073100001,,,0.223100007,,,,,,,,,,,,,,,,0.034600001,,,,,,,,,,,,,,,,,,,,,,,,,,0.072700001,,,,,,0.258700013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2618",,,,,,,,,0.320899993,,,,0.0603,0.079400003,0.140200004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134299994,,,,,,,,,,,,,,,,,0.264899999,,,,,,,,,,,,,,,,,,,,,
"K2654",,,,,,,,,0.358999997,,,,,0.132300004,0.116899997,,,,,,0.1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2754",,,,,,,,,0.195500001,,,,,,,,,,,,,,,,,,,,,0.079899997,,,,,,,,,0.293000013,0.118100002,,,,,,,,,,,,,,,,,0.313499987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2757",,,,,,,,,0.253300011,,,,,,0.172999993,,,,,,,,,,,,,,,,0.0288,,,,,,,,,,,,,,,,,,,,,,,,,0.350800008,0.0605,,,,,,,0.133699998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K309",3.5,,,,,,,,0.387199998,,,,,0.079400003,0.187000006,,,,,,0.107199997,,,,,,0.104900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134299994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K3189",3.23,,,,,,,,0.426698685,,,,0.060303591,0.0740951,0.186973974,,,,,,0.100056708,,0.011986858,,,,0.139885098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K326",,,,,,0.093199998,,,0.513499975,,,0.0148,0.181500003,,0.139799997,,,,,,0.0572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K360",,,,,0.032790001,,,,0.419274986,,,,0.054880001,0.096318997,0.127618,,,,,,0.130073994,,,,,,,,,,,,,,,,,,,,0.067367002,,,,,,,,,,0.071676999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K3680",,,,,,,,,0.375842631,,,,0.054273229,0.047632564,0.177625269,0.008728413,,,,,0.064322166,,0.014989728,,,,0.069957435,,0.031431891,,0.072312072,,,,,,,,,,,,,,,,,0.018619169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074265435,,,,,,,,,,,,
"K369",,,,,,,,,0.168400005,,,,,,,,,,,,,,,,,,,,,,,,0.286500007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.545099974,,,,,,,,,,,,
"K371",,,,,,,,,0.319299996,,,,,,0.230800003,,,,,,,,,,,,,,,,0.0307,,,,,,,,,,,,,,,,,,,,,,,,,,0.419200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K373",,,,,,,,,0.423400015,,,0.1043,,,0.318500012,,,,,,,,,,,,,,,,0.049400002,,,,,,,,,,,,,,,,,,,,,,,,,,0.103799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005,,
"K376",,,,,,,,,0.421799988,,,0.103799999,,,0.316599995,,,,,,,,,,,,,,,,0.049199998,,,,,,,,,,,,,,,,,,,,,,,,,,0.103399999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0053,,
"K378",,,,,,,,,0.416599989,,,0.101899996,,,0.310499996,,,,,,,,,,,,,,,,0.0484,,,,,,,,,,,,,,,,,,,,,,,,,,0.101599999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,,
"K408",,,,,,,,,0.213200003,,,,,,0.140200004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043200001,,,,,,,,,,,,,,,,,,,0.603399992,,,,,,,,,,,,
"K409",,,,,,,,,0.433899999,,,0.074199997,,0.079400003,0.257099986,,,,,,,,,,,,0.155499995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K411",2.946,,,,,,,,0.423667461,,,,0.088465363,,0.253817171,,,,,,0.11056266,,,,,,0.112087362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K412",3.5,,,,,,,,0.427579969,,,,0.116566837,0.049061541,0.211981744,,,,,,0.108990341,,,,,,0.077419564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K447",3,,,0.023226,,0.233055994,,,0.637872994,,,,,0.105844997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K456",,,,,,,,,0.204300001,,,,,,0.134499997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.661199987,,,,,,,,,,,,
"K489",10,,,,,0.0006,,,0.314900011,,,,,0.0015,0.218600005,,,,,,,,0.0028,,,,0.0032,,,,0.029899999,,,,,,,,,,0.0052,,,,,,,,,,,,,,,,0.393000007,,0.008,,,,,,,,,,,,,,,0.0103,,,,,,,,,0.0119,,,,,,,,,,,,
"K490",,,,0.0217,,0.217500001,,,0.609799981,,,,,0.098899998,0.002,,,,,,,,0.0033,,,,0.0038,,,,,,,,,,,,,,0.0063,,,,,,,,,,,,,,,,,,0.0097,,,,,,,,,,,,,,,0.0125,,,,,,,,,0.0144,,,,,,,,,,,,
"K491",,,,,,0.0003,,,0.166500002,,,,,0.0008,0.0009,,,,,,,,0.0016,,,,0.0018,,,,,,0.263599992,,,,,,,,0.003,,,,,,,,,,,,,,,,,,0.0046,,,,,,,,,,,,,,,0.0059,,,,,,,,,0.550999999,,,,,,,,,,,,
"K493",,,,,,0.0004,,,0.206300005,,,,,0.0011,0.130400002,,,,,,,,0.0019,,,,0.0022,,,,,,,,,,,,,,0.0036,,,,,,,,,,,,,,,,,,0.0055,,,,,,,,,,,,,,,0.0072,,,,,,,,,0.641300023,,,,,,,,,,,,
"K495",1,,,0.0232,,0.233099997,,,0.637899995,,,,,0.105800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K496",,,,,,,,,0.537999988,,,,0.054499999,0.0605,,0.34709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K497",,,,,,0.0005,,,0.524500012,,,,0.052099999,0.057799999,0.0013,0.331800014,,,,,,,0.0021,,,,0.0024,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,0.0062,,,,,,,,,,,,,,,0.008,,,,,,,,,0.0092,,,,,,,,,,,,
"K508",,,,,,0.092600003,,,0.41139999,,,,,,0.1206,,,,,,,,,,,,,,,,,,,,,,,,0.375400007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K521",,,,0.032499999,,0.211300001,,,0.552699983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K523",,,,,,,,,0.207100004,,,,0.001,,0.128999993,0.0025,,,,,,,0.0019,,0.0021,,,,0.0024,,,,0.0029,,,,,,,,0.0036,,,,,,,,,,,,,,,,0.0055,,,,,,,0.006,,,,,,,,,,,,,,,,,,,0.63410002,,,,,,,,0.001,,0.0011,,
"K546",,,,0.021600001,,0.216989994,,,0.612515986,,,,0.001689,0.098647997,,0.00432,,,,,,,0.003357,,0.001437,,,,0.004086,,,,0.005067,,,,,,,,0.006367,,,,,,,,,,,,,,,,0.009583,,,,,,,0.010623,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001582,,0.002035,,
"K711",,,,,,,,,0.293500006,,,0.0185,,,0.215000004,,,,,0.046700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.420700014,,,,,,,,,,,,
"K873",3.5,,,,,,,,0.254599988,,,,,0.0026,0.114500001,,,,,,,,,,,0.0032,,,,,,,0.170000002,,,,,,,,,,,,,,,,,,,,,,,,0.219400004,,0.0041,,,,,,,,,,,,,,,0.0041,,,,,,,,,0.227400005,,,,,,,,,,,,
"K884",,,,,,,,,0.449999988,,,,0.02,0.115199998,0.223299995,,,,,,0.075499997,,,,,,0.115999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K919",,,,,,,,,0.318599999,,,,,,0.201000005,,,,,,,,,,0.0068,0.018999999,0.021,0.021299999,0.023600001,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,0.340299994,,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K961",,,,,,,,,0.469799995,,,0.0297,0.030200001,0.058200002,0.299199998,0.0022,,,,0.024900001,0.035700001,,0.012,,,0.0032,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K963",,,,,,,,,0.319200009,,,,0.0014,,0.219899997,0.0036,,,,,,,0.0028,,0.003,,,,0.0034,,0.029999999,,0.0042,,,,,,,,0.0053,,,,,,,,,,,,,,,,0.395200014,,,,,,,0.0088,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013,,0.0017,,
"K968",,,,,,,,,0.166199997,,,,0.0008,,,0.002,,,,,,,0.0016,,0.0017,,,,0.0019,,,,0.262699991,,,,,,,,0.003,,,,,,,,,,,,,,,,0.0045,,,,,,,0.0049,,,,,,,,,,,,,,,,,,,0.549099982,,,,,,,,0.0008,,0.0009,,
"K970",,,,,,,,,0.379099995,,,,,0.079400003,0.187000006,,,,,0.0166,0.107199997,,,0.0112,,,,,,,,0.0074,,0.0151,,,,,0.126800001,,,,,,,,,,0.0175,,0.015799999,,,,,0.0189,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017899999,,,,,,,,,,,
"K975",,,,0.0105,,,,,0.396600008,,,,,0.089199997,0.210199997,,,,,0.0187,0.067500003,,,,,,,,,,,,,,,,,0.0206,0.100500003,,,,,,,,,0.0104,,,,,,,,,,,0.018300001,,,,,,,0.0195,,,,,0.0198,,,0.0184,,,,,,,,,,,,,,,,,,,,,
"K978",,,,,,,,,0.393900007,,,,0.0136,0.089199997,0.210199997,,,,,0.0187,0.067500003,,0.0067,,,,,,,,,,,,,,,0.0206,0.100500003,,,,,,,,,,,,,,,,,0.021199999,,0.019200001,,,,,,0.019400001,0.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K979",4,,,0.010452,,,,,0.405582011,,,,,0.089227997,0.210171998,,,,,0.018678,0.067466997,,0.013489,,,,,,,,,,,,,,,,0.100541003,,,0.015729001,,,,,,,,,,0.008431,,,,0.021221999,,,,,,,0.019404,,,,0.019605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaersutite",,0.0022,,,,,,,0.428299993,,,0.018100001,0.0757,0.065399997,0.187399998,,,,,0.0097,0.082599998,,0.030200001,,,0.0014,0.095100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamacite",,,,,,,,,,,,,,,,,,,,,,,,,,,0.939999998,,0.059999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kyanite",,,,,,,,,0.493669748,,,,,0.333011717,0.17331852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lanthanum Oxide",,,,,,,,,0.147319973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.852680027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lead Fluoride",,,,,,,,,,0.15496175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.845038235,,,,,,,,,,,,
"Lead Oxide",,,,,,,,,0.071682096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.928317904,,,,,,,,,,,,
"Lead glass",,,,,,,,,0.241999999,,,,,,0.162699997,,,,,0.056899998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538399994,,,,,,,,,,,,
"Lithium Fluoride",,,,0.267589331,,,,,,0.732410669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lithium Niobate",,,,0.046947755,,,,,0.324651718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628400505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lithium Tantalate",,,,0.029425094,,,,,0.203479543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.767095387,,,,,,,,,,,,,,,,,,,,,
"Lutetium Silicide",,,,,,,,,,,,,,,0.243019328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756980658,,,,,,,,,,,,,,,,,,,,,,,
"MA957",,,,,,0.00001,0.0001,0.00036,0.00202,,,,,0.0008,0.0004,0.00006,0.00004,,,,,,0.0092,,0.143399999,0.0005,0.833710015,,0.0032,0.0002,,,,,,,,,,0.0026,,0.0004,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,
"Magnesium Fluoride",,,,,,,,,,0.609877825,,,0.390122145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magnesium Tin",,,,,,,,,,,,,0.290521145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.709478855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magnetite",,,,,,,,,0.276408583,,,,,,,,,,,,,,,,,,0.723591387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manganese Fluoride",,,,,,,,,,0.408849299,,,,,,,,,,,,,,,,0.591150701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manganese Titanate",,,,,,,,,0.318283707,,,,,,,,,,,,,,0.317413688,,,0.364302605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marja Olivine",3.3,,,,,,,,0.432999998,,,,0.289999992,,0.187999994,,,,,,,,,,,0.002,0.086999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maureen's NiTa alloy",8.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.230000004,,,,,,,,,,,,,,,,,,,,,
"Maureen's NiW alloy",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.860000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140000001,,,,,,,,,,,,,,,,,,,,
"Misch",,,,,,,0.109999999,,,,,,,,0.109999999,,,,,,,,,,,0.109999999,0.109999999,0.109999999,,0.109999999,,,,,,,,,,,,,0.109999999,,,,,,0.109999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119999997,,,,,,,,,,,,,,,,
"Molybdate",,,,,,,,,0.319963038,,,,,,,,,,,,0.200374365,,,,,,,,,,,,,,,,,,,,,,0.479662597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Molybdenite",,,,,,,,,,,,,,,,,0.400637209,,,,,,,,,,,,,,,,,,,,,,,,,,0.599362791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Molybdenum Oxide",,,,,,,,,0.333463937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666536033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monazite",,,,,,,,,0.270799994,,,,,,0.007,0.124399997,,,,,0.004,,,,,,,,,,,,,,,,,,,0.0051,,,,,,,,,,,,,,,,,,0.135600001,0.29460001,0.033300001,0.0814,,0.0086,0.001,0.0039,0.0003,0.001,,,,,,,,,,,,,,,,,,,,,,,,0.027899999,,,,
"Monazite-Ce",5.4,,,,,,,,0.272229016,,,,,,,0.131754264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596016705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muscovite",2.76,0.005061107,,,,,,,0.482020825,,,,,0.203221112,0.21153599,,,,,0.098160945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
