"ZZ","II","NN","OO","PP"
51, 10, 10, 11, 1.11e-5
51, 10, 10, 12, 3.551e-5
51, 10, 12, 13, 1.0e-6
51, 10, 12, 14, 9.84e-6
51, 10, 11, 13, 5.53e-6
51, 10, 12, 17, 1.46e-6
51, 10, 11, 17, 5.5e-7
51, 10, 10, 18, 2.46e-6
51, 10, 10, 19, 2.22e-6
51, 11, 14, 19, 3.0e-8
51, 11, 13, 18, 3.0e-8
51, 11, 13, 19, 1.0e-8
51, 11, 12, 13, 1.0e-8
51, 11, 12, 14, 5.0e-8
51, 11, 11, 13, 5.112e-5
51, 11, 12, 17, 1.0e-8
51, 11, 11, 17, 5.07e-6
51, 12, 14, 19, 5.0e-8
51, 12, 13, 18, 2.0e-8
51, 12, 13, 19, 0.0
51, 12, 12, 13, 1.33e-6
51, 12, 12, 14, 1.303e-5
51, 12, 12, 17, 1.93e-6
51, 13, 13, 18, 3.0e-8
51, 13, 13, 19, 1.0e-8
51, 14, 14, 19, 4.0e-8
52, 1, 14, 19, 4.1e-7
52, 1, 13, 18, 2.2e-7
52, 1, 13, 19, 4.0e-8
52, 1, 10, 11, 4.83e-6
52, 1, 10, 12, 1.642e-5
52, 1, 12, 13, 1.84e-6
52, 1, 12, 14, 1.849e-5
52, 1, 11, 13, 3.207e-5
52, 1, 12, 17, 3.05e-6
52, 1, 11, 17, 3.6e-6
52, 1, 5, 6, 7.9e-7
52, 1, 10, 18, 1.87e-6
52, 1, 10, 19, 1.72e-6
52, 1, 5, 7, 4.68e-6
52, 1, 7, 8, 1.185e-5
52, 1, 7, 9, 0.00012614
52, 1, 6, 8, 9.883e-5
52, 1, 3, 4, 1.0e-8
52, 1, 2, 3, 1.09e-6
52, 1, 9, 12, 0.00139693
52, 1, 8, 11, 0.000824
52, 1, 8, 12, 0.00013286
52, 1, 9, 19, 8.043e-5
52, 1, 2, 4, 1.73e-5
52, 1, 8, 18, 4.968e-5
52, 1, 8, 19, 7.66e-6
52, 1, 7, 10, 0.00016428
52, 1, 6, 10, 6.273e-5
52, 1, 7, 13, 5.482e-5
52, 1, 7, 14, 0.00045271
52, 1, 7, 17, 2.197e-5
52, 1, 6, 13, 0.00020961
52, 1, 6, 17, 8.46e-6
52, 1, 5, 11, 1.204e-5
52, 1, 5, 12, 1.669e-5
52, 1, 5, 18, 8.3e-7
52, 1, 5, 19, 1.12e-6
52, 1, 4, 5, 0.0043372
52, 1, 4, 6, 2.302e-5
52, 1, 4, 7, 2.15e-5
52, 1, 3, 5, 0.00121576
52, 1, 4, 8, 0.00415787
52, 1, 4, 9, 0.03686477
52, 1, 3, 7, 1.658e-5
52, 1, 3, 8, 0.02083119
52, 1, 2, 6, 0.00067466
52, 1, 2, 7, 0.00108067
52, 1, 4, 10, 0.00035139
52, 1, 4, 11, 1.74e-6
52, 1, 4, 12, 1.66e-6
52, 1, 4, 13, 0.00055253
52, 1, 4, 14, 0.00491752
52, 1, 2, 8, 9.27e-6
52, 1, 4, 17, 4.329e-5
52, 1, 4, 18, 1.1e-7
52, 1, 4, 19, 1.0e-7
52, 1, 2, 9, 1.385e-5
52, 1, 3, 10, 0.00016088
52, 1, 3, 12, 1.75e-6
52, 1, 3, 13, 0.00283362
52, 1, 3, 17, 1.679e-5
52, 1, 3, 19, 1.1e-7
52, 1, 2, 11, 0.0001389
52, 1, 2, 12, 0.00022729
52, 1, 2, 13, 1.04e-6
52, 1, 2, 14, 1.57e-6
52, 1, 2, 18, 8.73e-6
52, 1, 2, 19, 1.366e-5
52, 1, 1, 3, 0.2524401
52, 1, 1, 4, 0.46994018
52, 1, 1, 6, 0.04327102
52, 1, 1, 7, 0.08392003
52, 1, 1, 8, 0.00038615
52, 1, 1, 9, 0.00053098
52, 1, 1, 11, 0.0089646
52, 1, 1, 12, 0.01761901
52, 1, 1, 13, 6.5e-5
52, 1, 1, 14, 8.9e-5
52, 1, 1, 18, 0.00051361
52, 1, 1, 19, 0.00094971
52, 2, 14, 19, 4.7e-7
52, 2, 13, 18, 2.6e-7
52, 2, 13, 19, 4.0e-8
52, 2, 10, 11, 6.97e-6
52, 2, 10, 12, 2.373e-5
52, 2, 12, 13, 2.2e-6
52, 2, 12, 14, 2.209e-5
52, 2, 11, 13, 3.75e-5
52, 2, 12, 17, 3.65e-6
52, 2, 11, 17, 4.2e-6
52, 2, 5, 6, 3.06e-6
52, 2, 10, 18, 2.71e-6
52, 2, 10, 19, 2.48e-6
52, 2, 5, 7, 1.821e-5
52, 2, 7, 8, 1.032e-5
52, 2, 7, 9, 0.00010987
52, 2, 6, 8, 9.939e-5
52, 2, 3, 4, 1.0e-8
52, 2, 2, 3, 2.014e-5
52, 2, 9, 12, 0.00132493
52, 2, 8, 11, 0.00081538
52, 2, 8, 12, 0.00013147
52, 2, 9, 19, 7.629e-5
52, 2, 2, 4, 0.00031913
52, 2, 8, 18, 4.916e-5
52, 2, 8, 19, 7.58e-6
52, 2, 7, 10, 0.00014308
52, 2, 6, 10, 6.309e-5
52, 2, 7, 13, 4.775e-5
52, 2, 7, 14, 0.0003943
52, 2, 7, 17, 1.913e-5
52, 2, 6, 13, 0.00021079
52, 2, 6, 17, 8.51e-6
52, 2, 5, 11, 4.685e-5
52, 2, 5, 12, 6.495e-5
52, 2, 5, 18, 3.22e-6
52, 2, 5, 19, 4.36e-6
52, 2, 4, 5, 0.00245068
52, 2, 4, 6, 1.301e-5
52, 2, 4, 7, 1.215e-5
52, 2, 3, 5, 0.00076069
52, 2, 4, 8, 0.00234935
52, 2, 4, 9, 0.02083002
52, 2, 3, 7, 1.037e-5
52, 2, 3, 8, 0.01303399
52, 2, 2, 6, 0.0124479
52, 2, 2, 7, 0.0199389
52, 2, 4, 10, 0.00019855
52, 2, 4, 11, 9.8e-7
52, 2, 4, 12, 9.4e-7
52, 2, 4, 13, 0.0003122
52, 2, 4, 14, 0.00277859
52, 2, 2, 8, 0.00017107
52, 2, 4, 17, 2.446e-5
52, 2, 4, 18, 6.0e-8
52, 2, 4, 19, 6.0e-8
52, 2, 2, 9, 0.00025546
52, 2, 3, 10, 0.00010066
52, 2, 3, 12, 1.1e-6
52, 2, 3, 13, 0.00177298
52, 2, 3, 17, 1.051e-5
52, 2, 3, 19, 7.0e-8
52, 2, 2, 11, 0.00256269
52, 2, 2, 12, 0.00419368
52, 2, 2, 13, 1.919e-5
52, 2, 2, 14, 2.904e-5
52, 2, 2, 18, 0.00016113
52, 2, 2, 19, 0.00025205
52, 3, 14, 19, 3.7e-7
52, 3, 13, 18, 2.4e-7
52, 3, 13, 19, 4.0e-8
52, 3, 10, 11, 4.54e-6
52, 3, 10, 12, 1.543e-5
52, 3, 12, 13, 1.63e-6
52, 3, 12, 14, 1.634e-5
52, 3, 11, 13, 3.476e-5
52, 3, 12, 17, 2.7e-6
52, 3, 11, 17, 3.9e-6
52, 3, 5, 6, 6.1e-7
52, 3, 10, 18, 1.76e-6
52, 3, 10, 19, 1.61e-6
52, 3, 5, 7, 3.65e-6
52, 3, 7, 8, 7.04e-6
52, 3, 7, 9, 7.495e-5
52, 3, 6, 8, 0.00014592
52, 3, 3, 4, 5.0e-8
52, 3, 9, 12, 0.00106856
52, 3, 8, 11, 0.00110484
52, 3, 8, 12, 0.00017815
52, 3, 9, 19, 6.152e-5
52, 3, 8, 18, 6.661e-5
52, 3, 8, 19, 1.027e-5
52, 3, 7, 10, 9.762e-5
52, 3, 6, 10, 9.262e-5
52, 3, 7, 13, 3.257e-5
52, 3, 7, 14, 0.000269
52, 3, 7, 17, 1.305e-5
52, 3, 6, 13, 0.00030947
52, 3, 6, 17, 1.25e-5
52, 3, 5, 11, 9.4e-6
52, 3, 5, 12, 1.303e-5
52, 3, 5, 18, 6.5e-7
52, 3, 5, 19, 8.8e-7
52, 3, 4, 5, 0.00119026
52, 3, 4, 6, 6.32e-6
52, 3, 4, 7, 5.9e-6
52, 3, 3, 5, 0.00383474
52, 3, 4, 8, 0.00114105
52, 3, 4, 9, 0.01011683
52, 3, 3, 7, 5.229e-5
52, 3, 3, 8, 0.0657057
52, 3, 4, 10, 9.643e-5
52, 3, 4, 11, 4.8e-7
52, 3, 4, 12, 4.6e-7
52, 3, 4, 13, 0.00015163
52, 3, 4, 14, 0.00134952
52, 3, 4, 17, 1.188e-5
52, 3, 4, 18, 3.0e-8
52, 3, 4, 19, 3.0e-8
52, 3, 3, 10, 0.00050745
52, 3, 3, 12, 5.52e-6
52, 3, 3, 13, 0.00893779
52, 3, 3, 17, 5.297e-5
52, 3, 3, 19, 3.3e-7
52, 4, 14, 19, 3.9e-7
52, 4, 13, 18, 1.9e-7
52, 4, 13, 19, 3.0e-8
52, 4, 10, 11, 4.34e-6
52, 4, 10, 12, 1.478e-5
52, 4, 12, 13, 1.7e-6
52, 4, 12, 14, 1.704e-5
52, 4, 11, 13, 2.595e-5
52, 4, 12, 17, 2.81e-6
52, 4, 11, 17, 2.91e-6
52, 4, 5, 6, 5.9e-7
52, 4, 10, 18, 1.69e-6
52, 4, 10, 19, 1.54e-6
52, 4, 5, 7, 3.53e-6
52, 4, 7, 8, 1.171e-5
52, 4, 7, 9, 0.00012467
52, 4, 6, 8, 4.616e-5
52, 4, 9, 12, 0.00155976
52, 4, 8, 11, 0.00065712
52, 4, 8, 12, 0.00010596
52, 4, 9, 19, 8.981e-5
52, 4, 8, 18, 3.962e-5
52, 4, 8, 19, 6.11e-6
52, 4, 7, 10, 0.00016236
52, 4, 6, 10, 2.93e-5
52, 4, 7, 13, 5.418e-5
52, 4, 7, 14, 0.00044742
52, 4, 7, 17, 2.171e-5
52, 4, 6, 13, 9.79e-5
52, 4, 6, 17, 3.95e-6
52, 4, 5, 11, 9.09e-6
52, 4, 5, 12, 1.26e-5
52, 4, 5, 18, 6.3e-7
52, 4, 5, 19, 8.5e-7
52, 4, 4, 5, 0.00684445
52, 4, 4, 6, 3.633e-5
52, 4, 4, 7, 3.392e-5
52, 4, 4, 8, 0.00656145
52, 4, 4, 9, 0.05817556
52, 4, 4, 10, 0.00055453
52, 4, 4, 11, 2.74e-6
52, 4, 4, 12, 2.63e-6
52, 4, 4, 13, 0.00087193
52, 4, 4, 14, 0.00776024
52, 4, 4, 17, 6.832e-5
52, 4, 4, 18, 1.7e-7
52, 4, 4, 19, 1.6e-7
52, 5, 14, 19, 3.5e-7
52, 5, 13, 18, 1.9e-7
52, 5, 13, 19, 3.0e-8
52, 5, 10, 11, 5.96e-6
52, 5, 10, 12, 2.026e-5
52, 5, 12, 13, 1.85e-6
52, 5, 12, 14, 1.854e-5
52, 5, 11, 13, 3.145e-5
52, 5, 12, 17, 3.06e-6
52, 5, 11, 17, 3.53e-6
52, 5, 5, 6, 1.157e-5
52, 5, 10, 18, 2.31e-6
52, 5, 10, 19, 2.12e-6
52, 5, 5, 7, 6.875e-5
52, 5, 7, 8, 1.083e-5
52, 5, 7, 9, 0.00011524
52, 5, 6, 8, 0.00012246
52, 5, 9, 12, 0.00063544
52, 5, 8, 11, 0.00041804
52, 5, 8, 12, 6.741e-5
52, 5, 9, 19, 3.659e-5
52, 5, 8, 18, 2.52e-5
52, 5, 8, 19, 3.88e-6
52, 5, 7, 10, 0.00015008
52, 5, 6, 10, 7.773e-5
52, 5, 7, 13, 5.008e-5
52, 5, 7, 14, 0.00041358
52, 5, 7, 17, 2.007e-5
52, 5, 6, 13, 0.00025974
52, 5, 6, 17, 1.049e-5
52, 5, 5, 11, 0.00017693
52, 5, 5, 12, 0.00024528
52, 5, 5, 18, 1.217e-5
52, 5, 5, 19, 1.648e-5
52, 6, 14, 19, 2.5e-7
52, 6, 13, 18, 1.8e-7
52, 6, 13, 19, 3.0e-8
52, 6, 10, 11, 3.69e-6
52, 6, 10, 12, 1.255e-5
52, 6, 12, 13, 1.2e-6
52, 6, 12, 14, 1.209e-5
52, 6, 11, 13, 3.527e-5
52, 6, 12, 17, 2.0e-6
52, 6, 11, 17, 3.95e-6
52, 6, 10, 18, 1.43e-6
52, 6, 10, 19, 1.31e-6
52, 6, 7, 8, 1.96e-6
52, 6, 7, 9, 2.086e-5
52, 6, 6, 8, 0.00041837
52, 6, 9, 12, 0.0003986
52, 6, 8, 11, 0.00080291
52, 6, 8, 12, 0.00012946
52, 6, 9, 19, 2.295e-5
52, 6, 8, 18, 4.841e-5
52, 6, 8, 19, 7.46e-6
52, 6, 7, 10, 2.717e-5
52, 6, 6, 10, 0.00026556
52, 6, 7, 13, 9.07e-6
52, 6, 7, 14, 7.486e-5
52, 6, 7, 17, 3.63e-6
52, 6, 6, 13, 0.00088733
52, 6, 6, 17, 3.583e-5
52, 7, 14, 19, 3.0e-7
52, 7, 13, 18, 1.4e-7
52, 7, 13, 19, 2.0e-8
52, 7, 10, 11, 3.54e-6
52, 7, 10, 12, 1.204e-5
52, 7, 12, 13, 1.56e-6
52, 7, 12, 14, 1.568e-5
52, 7, 11, 13, 2.019e-5
52, 7, 12, 17, 2.59e-6
52, 7, 11, 17, 2.26e-6
52, 7, 10, 18, 1.37e-6
52, 7, 10, 19, 1.26e-6
52, 7, 7, 8, 2.392e-5
52, 7, 7, 9, 0.00025459
52, 7, 9, 12, 0.00093872
52, 7, 8, 11, 0.00025136
52, 7, 8, 12, 4.053e-5
52, 7, 9, 19, 5.405e-5
52, 7, 8, 18, 1.515e-5
52, 7, 8, 19, 2.34e-6
52, 7, 7, 10, 0.00033156
52, 7, 7, 13, 0.00011064
52, 7, 7, 14, 0.00091367
52, 7, 7, 17, 4.433e-5
52, 8, 14, 19, 1.2e-7
52, 8, 13, 18, 1.4e-7
52, 8, 13, 19, 2.0e-8
52, 8, 10, 11, 1.78e-6
52, 8, 10, 12, 6.07e-6
52, 8, 12, 13, 6.0e-7
52, 8, 12, 14, 6.01e-6
52, 8, 11, 13, 9.56e-6
52, 8, 12, 17, 9.9e-7
52, 8, 11, 17, 1.07e-6
52, 8, 10, 18, 6.9e-7
52, 8, 10, 19, 6.3e-7
52, 8, 9, 12, 1.487e-5
52, 8, 8, 11, 0.00132149
52, 8, 8, 12, 0.00021308
52, 8, 9, 19, 8.6e-7
52, 8, 8, 18, 7.967e-5
52, 8, 8, 19, 1.228e-5
52, 9, 14, 19, 2.1e-7
52, 9, 13, 18, 6.0e-8
52, 9, 13, 19, 1.0e-8
52, 9, 10, 11, 1.81e-6
52, 9, 10, 12, 6.17e-6
52, 9, 12, 13, 6.1e-7
52, 9, 12, 14, 6.09e-6
52, 9, 11, 13, 9.89e-6
52, 9, 12, 17, 1.01e-6
52, 9, 11, 17, 1.11e-6
52, 9, 10, 18, 7.0e-7
52, 9, 10, 19, 6.5e-7
52, 9, 9, 12, 0.00141809
52, 9, 9, 19, 8.165e-5
52, 10, 14, 19, 1.7e-7
52, 10, 13, 18, 8.0e-8
52, 10, 13, 19, 1.0e-8
52, 10, 10, 11, 1.161e-5
52, 10, 10, 12, 3.95e-5
52, 10, 12, 13, 1.16e-6
52, 10, 12, 14, 1.162e-5
52, 10, 11, 13, 6.75e-6
52, 10, 12, 17, 1.92e-6
52, 10, 11, 17, 7.6e-7
52, 10, 10, 18, 4.51e-6
52, 10, 10, 19, 4.13e-6
52, 11, 14, 19, 9.0e-8
52, 11, 13, 18, 1.0e-7
52, 11, 13, 19, 2.0e-8
52, 11, 12, 13, 1.0e-8
52, 11, 12, 14, 8.0e-8
52, 11, 11, 13, 6.312e-5
52, 11, 12, 17, 1.0e-8
52, 11, 11, 17, 7.08e-6
52, 12, 14, 19, 1.5e-7
52, 12, 13, 18, 6.0e-8
52, 12, 13, 19, 1.0e-8
52, 12, 12, 13, 1.62e-6
52, 12, 12, 14, 1.625e-5
52, 12, 12, 17, 2.68e-6
52, 13, 13, 18, 9.0e-8
52, 13, 13, 19, 2.0e-8
52, 14, 14, 19, 1.1e-7
53, 1, 10, 11, 4.56e-6
53, 1, 14, 19, 9.3e-7
53, 1, 13, 18, 5.1e-7
53, 1, 13, 19, 9.0e-8
53, 1, 10, 12, 1.634e-5
53, 1, 12, 13, 2.0e-6
53, 1, 12, 14, 2.034e-5
53, 1, 11, 13, 3.97e-5
53, 1, 12, 17, 3.7e-6
53, 1, 11, 17, 4.96e-6
53, 1, 5, 6, 7.8e-7
53, 1, 10, 18, 2.71e-6
53, 1, 10, 19, 2.55e-6
53, 1, 5, 7, 4.95e-6
53, 1, 7, 8, 1.128e-5
53, 1, 7, 9, 0.00012135
53, 1, 6, 8, 9.635e-5
53, 1, 3, 4, 2.0e-8
53, 1, 2, 3, 1.03e-6
53, 1, 9, 12, 0.00161566
53, 1, 8, 11, 0.00094287
53, 1, 8, 12, 0.00015053
53, 1, 2, 4, 1.775e-5
53, 1, 9, 19, 0.00012887
53, 1, 8, 18, 7.855e-5
53, 1, 8, 19, 1.202e-5
53, 1, 7, 10, 0.00017095
53, 1, 6, 10, 6.4e-5
53, 1, 7, 13, 6.057e-5
53, 1, 7, 14, 0.00049995
53, 1, 7, 17, 2.433e-5
53, 1, 6, 13, 0.00022833
53, 1, 6, 17, 9.2e-6
53, 1, 5, 11, 1.308e-5
53, 1, 5, 12, 1.793e-5
53, 1, 5, 18, 1.25e-6
53, 1, 5, 19, 1.68e-6
53, 1, 4, 5, 0.00444022
53, 1, 4, 6, 2.404e-5
53, 1, 4, 7, 2.241e-5
53, 1, 3, 5, 0.00123707
53, 1, 4, 8, 0.00439468
53, 1, 4, 9, 0.03896083
53, 1, 3, 7, 1.734e-5
53, 1, 3, 8, 0.02213394
53, 1, 2, 6, 0.00067683
53, 1, 2, 7, 0.00107475
53, 1, 4, 10, 0.00037506
53, 1, 4, 11, 1.96e-6
53, 1, 4, 12, 1.88e-6
53, 1, 4, 13, 0.00061263
53, 1, 4, 14, 0.00545702
53, 1, 2, 8, 9.69e-6
53, 1, 2, 9, 1.447e-5
53, 1, 4, 17, 4.985e-5
53, 1, 4, 18, 1.7e-7
53, 1, 4, 19, 1.6e-7
53, 1, 3, 10, 0.00017036
53, 1, 3, 12, 1.99e-6
53, 1, 3, 13, 0.00316322
53, 1, 3, 17, 1.924e-5
53, 1, 3, 19, 1.7e-7
53, 1, 2, 11, 0.00014271
53, 1, 2, 12, 0.0002321
53, 1, 2, 13, 1.13e-6
53, 1, 2, 14, 1.72e-6
53, 1, 2, 18, 1.244e-5
53, 1, 2, 19, 1.94e-5
53, 1, 1, 3, 0.25430914
53, 1, 1, 4, 0.47211827
53, 1, 1, 6, 0.04390882
53, 1, 1, 7, 0.08515175
53, 1, 1, 8, 0.00041225
53, 1, 1, 9, 0.00056506
53, 1, 1, 11, 0.00915608
53, 1, 1, 12, 0.01791191
53, 1, 1, 13, 7.322e-5
53, 1, 1, 14, 0.00010007
53, 1, 1, 18, 0.00073213
53, 1, 1, 19, 0.0013713
53, 2, 10, 11, 6.7e-6
53, 2, 14, 19, 1.05e-6
53, 2, 13, 18, 5.8e-7
53, 2, 13, 19, 1.0e-7
53, 2, 10, 12, 2.401e-5
53, 2, 12, 13, 2.37e-6
53, 2, 12, 14, 2.418e-5
53, 2, 11, 13, 4.698e-5
53, 2, 12, 17, 4.4e-6
53, 2, 11, 17, 5.87e-6
53, 2, 5, 6, 3.1e-6
53, 2, 10, 18, 3.98e-6
53, 2, 10, 19, 3.74e-6
53, 2, 5, 7, 1.954e-5
53, 2, 7, 8, 9.92e-6
53, 2, 7, 9, 0.00010671
53, 2, 6, 8, 9.642e-5
53, 2, 3, 4, 1.0e-8
53, 2, 2, 3, 1.999e-5
53, 2, 9, 12, 0.0015457
53, 2, 8, 11, 0.00093915
53, 2, 8, 12, 0.00014994
53, 2, 2, 4, 0.00034508
53, 2, 9, 19, 0.00012329
53, 2, 8, 18, 7.824e-5
53, 2, 8, 19, 1.197e-5
53, 2, 7, 10, 0.00015032
53, 2, 6, 10, 6.404e-5
53, 2, 7, 13, 5.326e-5
53, 2, 7, 14, 0.00043962
53, 2, 7, 17, 2.139e-5
53, 2, 6, 13, 0.0002285
53, 2, 6, 17, 9.21e-6
53, 2, 5, 11, 5.162e-5
53, 2, 5, 12, 7.081e-5
53, 2, 5, 18, 4.93e-6
53, 2, 5, 19, 6.63e-6
53, 2, 4, 5, 0.00254206
53, 2, 4, 6, 1.376e-5
53, 2, 4, 7, 1.283e-5
53, 2, 3, 5, 0.00078521
53, 2, 4, 8, 0.00251599
53, 2, 4, 9, 0.02230541
53, 2, 3, 7, 1.1e-5
53, 2, 3, 8, 0.0140491
53, 2, 2, 6, 0.0131549
53, 2, 2, 7, 0.0208889
53, 2, 4, 10, 0.00021473
53, 2, 4, 11, 1.12e-6
53, 2, 4, 12, 1.08e-6
53, 2, 4, 13, 0.00035074
53, 2, 4, 14, 0.00312419
53, 2, 2, 8, 0.00018827
53, 2, 2, 9, 0.00028121
53, 2, 4, 17, 2.854e-5
53, 2, 4, 18, 1.0e-7
53, 2, 4, 19, 9.0e-8
53, 2, 3, 10, 0.00010813
53, 2, 3, 12, 1.26e-6
53, 2, 3, 13, 0.00200779
53, 2, 3, 17, 1.221e-5
53, 2, 3, 19, 1.1e-7
53, 2, 2, 11, 0.00277369
53, 2, 2, 12, 0.00451118
53, 2, 2, 13, 2.204e-5
53, 2, 2, 14, 3.343e-5
53, 2, 2, 18, 0.00024169
53, 2, 2, 19, 0.00037713
53, 3, 10, 11, 4.32e-6
53, 3, 14, 19, 8.4e-7
53, 3, 13, 18, 5.5e-7
53, 3, 13, 19, 1.0e-7
53, 3, 10, 12, 1.547e-5
53, 3, 12, 13, 1.77e-6
53, 3, 12, 14, 1.799e-5
53, 3, 11, 13, 4.313e-5
53, 3, 12, 17, 3.27e-6
53, 3, 11, 17, 5.39e-6
53, 3, 5, 6, 6.3e-7
53, 3, 10, 18, 2.56e-6
53, 3, 10, 19, 2.41e-6
53, 3, 5, 7, 3.95e-6
53, 3, 7, 8, 6.77e-6
53, 3, 7, 9, 7.285e-5
53, 3, 6, 8, 0.00014315
53, 3, 3, 4, 6.0e-8
53, 3, 9, 12, 0.00124319
53, 3, 8, 11, 0.00127699
53, 3, 8, 12, 0.00020388
53, 3, 9, 19, 9.916e-5
53, 3, 8, 18, 0.00010638
53, 3, 8, 19, 1.628e-5
53, 3, 7, 10, 0.00010263
53, 3, 6, 10, 9.508e-5
53, 3, 7, 13, 3.636e-5
53, 3, 7, 14, 0.00030015
53, 3, 7, 17, 1.461e-5
53, 3, 6, 13, 0.00033924
53, 3, 6, 17, 1.367e-5
53, 3, 5, 11, 1.042e-5
53, 3, 5, 12, 1.43e-5
53, 3, 5, 18, 9.9e-7
53, 3, 5, 19, 1.34e-6
53, 3, 4, 5, 0.00123835
53, 3, 4, 6, 6.7e-6
53, 3, 4, 7, 6.25e-6
53, 3, 3, 5, 0.00392489
53, 3, 4, 8, 0.00122565
53, 3, 4, 9, 0.01086596
53, 3, 3, 7, 5.501e-5
53, 3, 3, 8, 0.07022482
53, 3, 4, 10, 0.0001046
53, 3, 4, 11, 5.5e-7
53, 3, 4, 12, 5.2e-7
53, 3, 4, 13, 0.00017086
53, 3, 4, 14, 0.00152193
53, 3, 4, 17, 1.39e-5
53, 3, 4, 18, 5.0e-8
53, 3, 4, 19, 4.0e-8
53, 3, 3, 10, 0.00054051
53, 3, 3, 12, 6.32e-6
53, 3, 3, 13, 0.010036
53, 3, 3, 17, 6.106e-5
53, 3, 3, 19, 5.3e-7
53, 4, 10, 11, 4.14e-6
53, 4, 14, 19, 9.0e-7
53, 4, 13, 18, 4.4e-7
53, 4, 13, 19, 8.0e-8
53, 4, 10, 12, 1.481e-5
53, 4, 12, 13, 1.86e-6
53, 4, 12, 14, 1.89e-5
53, 4, 11, 13, 3.247e-5
53, 4, 12, 17, 3.44e-6
53, 4, 11, 17, 4.06e-6
53, 4, 5, 6, 6.1e-7
53, 4, 10, 18, 2.45e-6
53, 4, 10, 19, 2.31e-6
53, 4, 5, 7, 3.82e-6
53, 4, 7, 8, 1.118e-5
53, 4, 7, 9, 0.00012022
53, 4, 6, 8, 4.499e-5
53, 4, 9, 12, 0.00181903
53, 4, 8, 11, 0.00075624
53, 4, 8, 12, 0.00012074
53, 4, 9, 19, 0.00014509
53, 4, 8, 18, 6.3e-5
53, 4, 8, 19, 9.64e-6
53, 4, 7, 10, 0.00016936
53, 4, 6, 10, 2.989e-5
53, 4, 7, 13, 6.001e-5
53, 4, 7, 14, 0.00049531
53, 4, 7, 17, 2.41e-5
53, 4, 6, 13, 0.00010663
53, 4, 6, 17, 4.3e-6
53, 4, 5, 11, 1.009e-5
53, 4, 5, 12, 1.384e-5
53, 4, 5, 18, 9.6e-7
53, 4, 5, 19, 1.3e-6
53, 4, 4, 5, 0.00705936
53, 4, 4, 6, 3.822e-5
53, 4, 4, 7, 3.564e-5
53, 4, 4, 8, 0.00698696
53, 4, 4, 9, 0.06194264
53, 4, 4, 10, 0.0005963
53, 4, 4, 11, 3.12e-6
53, 4, 4, 12, 2.99e-6
53, 4, 4, 13, 0.00097401
53, 4, 4, 14, 0.00867595
53, 4, 4, 17, 7.925e-5
53, 4, 4, 18, 2.7e-7
53, 4, 4, 19, 2.5e-7
53, 5, 10, 11, 5.77e-6
53, 5, 14, 19, 7.8e-7
53, 5, 13, 18, 4.3e-7
53, 5, 13, 19, 7.0e-8
53, 5, 10, 12, 2.066e-5
53, 5, 12, 13, 2.01e-6
53, 5, 12, 14, 2.052e-5
53, 5, 11, 13, 3.727e-5
53, 5, 12, 17, 3.74e-6
53, 5, 11, 17, 4.66e-6
53, 5, 5, 6, 1.186e-5
53, 5, 10, 18, 3.43e-6
53, 5, 10, 19, 3.22e-6
53, 5, 5, 7, 7.479e-5
53, 5, 7, 8, 1.058e-5
53, 5, 7, 9, 0.00011382
53, 5, 6, 8, 0.00011498
53, 5, 9, 12, 0.00075434
53, 5, 8, 11, 0.00047702
53, 5, 8, 12, 7.616e-5
53, 5, 9, 19, 6.017e-5
53, 5, 8, 18, 3.974e-5
53, 5, 8, 19, 6.08e-6
53, 5, 7, 10, 0.00016034
53, 5, 6, 10, 7.637e-5
53, 5, 7, 13, 5.681e-5
53, 5, 7, 14, 0.00046893
53, 5, 7, 17, 2.282e-5
53, 5, 6, 13, 0.00027248
53, 5, 6, 17, 1.098e-5
53, 5, 5, 11, 0.00019755
53, 5, 5, 12, 0.00027096
53, 5, 5, 18, 1.886e-5
53, 5, 5, 19, 2.538e-5
53, 6, 10, 11, 3.56e-6
53, 6, 14, 19, 5.8e-7
53, 6, 13, 18, 4.2e-7
53, 6, 13, 19, 7.0e-8
53, 6, 10, 12, 1.273e-5
53, 6, 12, 13, 1.31e-6
53, 6, 12, 14, 1.33e-5
53, 6, 11, 13, 4.379e-5
53, 6, 12, 17, 2.42e-6
53, 6, 11, 17, 5.48e-6
53, 6, 10, 18, 2.11e-6
53, 6, 10, 19, 1.99e-6
53, 6, 7, 8, 2.05e-6
53, 6, 7, 9, 2.209e-5
53, 6, 6, 8, 0.00041577
53, 6, 9, 12, 0.00046983
53, 6, 8, 11, 0.00092837
53, 6, 8, 12, 0.00014822
53, 6, 9, 19, 3.747e-5
53, 6, 8, 18, 7.734e-5
53, 6, 8, 19, 1.183e-5
53, 6, 7, 10, 3.112e-5
53, 6, 6, 10, 0.00027617
53, 6, 7, 13, 1.103e-5
53, 6, 7, 14, 9.102e-5
53, 6, 7, 17, 4.43e-6
53, 6, 6, 13, 0.00098533
53, 6, 6, 17, 3.97e-5
53, 7, 10, 11, 3.41e-6
53, 7, 14, 19, 6.8e-7
53, 7, 13, 18, 3.1e-7
53, 7, 13, 19, 5.0e-8
53, 7, 10, 12, 1.22e-5
53, 7, 12, 13, 1.73e-6
53, 7, 12, 14, 1.766e-5
53, 7, 11, 13, 2.563e-5
53, 7, 12, 17, 3.21e-6
53, 7, 11, 17, 3.2e-6
