"Z", "K_L1", "K_L2", "K_L3", "K_M2", "K_M3", "K_M4", "K_M5", "K_N2", "K_N3", "K_N4", "K_N5", "K_O2", "K_O3", "K_O4", "K_O5", "K_P2", "K_P3", "L1_M2", "L1_M3", "L1_M4", "L1_M5", "L1_N2", "L1_N3", "L1_N4", "L1_N5", "L1_O2", "L1_O3", "L1_O4", "L1_O5", "L1_P2", "L1_P3", "L2_M1", "L2_M3", "L2_M4", "L2_N1", "L2_N3", "L2_N4", "L2_N6", "L2_O1", "L2_O3", "L2_O4", "L2_P1", "L2_P3", "L3_M1", "L3_M2", "L3_M3", "L3_M4", "L3_M5", "L3_N1", "L3_N2", "L3_N3", "L3_N4", "L3_N5", "L3_N6", "L3_N7", "L3_O1", "L3_O2", "L3_O3", "L3_O4", "L3_O5", "L3_P1", "L3_P2", "L3_P3", "M1_N2", "M1_N3", "M1_O2", "M1_O3", "M1_P2", "M1_P3", "M2_N1", "M2_N4", "M2_O1", "M2_O4", "M2_P1", "M3_N1", "M3_N4", "M3_N5", "M3_O1", "M3_O4", "M3_O5", "M3_P1", "M4_N2", "M4_N3", "M4_N6", "M4_O2", "M4_O3", "M4_P2", "M4_P3", "M5_N3", "M5_N6", "M5_N7", "M5_O3", "M5_P3", "N1_O2", "N1_O3", "N1_P2", "N1_P3", "N2_O1", "N2_O4", "N2_P1", "N3_O1", "N3_O4", "N3_O5", "N3_P1", "N4_O2", "N4_O3", "N4_P2", "N4_P3", "N5_O3", "N5_P3", "N6_O4", "N6_O5", "N7_O5", "O1_P2", "O1_P3", "O2_P1", "O3_P1"
49,, 0.245699, 0.460909, 0.0411269, 0.0798527, 0.00031229, 0.00043333, 0.00839467, 0.0163419, 4.27e-05, 5.881e-05,,,,,,, 0.0102851, 0.0168651, 0.00012442, 0.00018564, 0.00195251, 0.00324772, 1.175e-05, 1.765e-05, 1.654e-05, 2.539e-05,,,,, 0.00359692, 4.516e-05, 0.0535573, 0.00041634, 3.61e-06, 0.00600883,, 3.088e-05, 3e-08,,,, 0.00621202, 3.099e-05, 2.908e-05, 0.00539872, 0.0478882, 0.00044186, 1.83e-06, 1.74e-06, 0.0005942, 0.00526492,,, 3.905e-05, 2e-08, 1e-08,,,,,, 0.00013811, 0.00019706,,,,, 6.68e-05, 0.00017232,,,, 0.00012575, 3.296e-05, 0.00027198, 1.252e-05,,,, 0.00024661, 4.091e-05,, 2.02e-06,,,, 0.00036585,,, 2.77e-06,,,,,,,,,,,,,,,,,,,,,,,,,
50,, 0.248181, 0.464342, 0.0418921, 0.0813413, 0.00033621, 0.00046514, 0.00858463, 0.0167661, 4.975e-05, 6.841e-05,,,,,,, 0.0109711, 0.0178552, 0.00013864, 0.00020691, 0.00214322, 0.00354693, 1.399e-05, 2.108e-05, 4.901e-05, 7.628e-05,,,,, 0.0036763, 4.747e-05, 0.0573491, 0.00044535, 4.17e-06, 0.00692291,, 3.806e-05, 9e-08,,,, 0.00642092, 3.271e-05, 3.064e-05, 0.00576902, 0.0511512, 0.00047737, 2.1e-06, 2e-06, 0.00068239, 0.00605732,,, 4.85e-05, 5e-08, 4e-08,,,,,, 0.00014872, 0.00021015,,,,, 7.117e-05, 0.00020276,,,, 0.00013385, 3.849e-05, 0.00031778, 1.514e-05,,,, 0.00029855, 4.908e-05,, 6.58e-06,,,, 0.00044557,,, 9.23e-06,,,,,,,,,,,,,,,,,,,,,,,,,
51,, 0.25043, 0.46735, 0.042606, 0.082664, 0.00036086, 0.00049769, 0.0087744, 0.017192, 5.717e-05, 7.845e-05,,,,,,, 0.011694, 0.0188821, 0.00015418, 0.00023011, 0.00234711, 0.00386191, 1.647e-05, 2.487e-05, 9.69e-05, 0.0001516,,,,, 0.00375579, 4.985e-05, 0.0614489, 0.00047573, 4.81e-06, 0.00790419,, 4.536e-05, 1.9e-07,,,, 0.00663168, 3.449e-05, 3.226e-05, 0.00615498, 0.0545798, 0.00051491, 2.4e-06, 2.3e-06, 0.00077493, 0.00688898,,, 5.813e-05, 1e-07, 9e-08,,,,,, 0.00016053, 0.00022479,,,,, 7.528e-05, 0.00023346,,,, 0.00014185, 4.418e-05, 0.00036493, 1.761e-05,,,, 0.00035586, 5.795e-05,, 1.413e-05,,,, 0.00053467,,, 2.015e-05,,,,,,,,,,,,,,,,,,,,,,,,,
52,, 0.25244, 0.46994, 0.043271, 0.08392, 0.00038615, 0.00053098, 0.0089646, 0.017619, 6.5e-05, 8.9e-05,,,,,,, 0.0124479, 0.0199389, 0.00017107, 0.00025546, 0.00256269, 0.00419368, 1.919e-05, 2.904e-05, 0.00016113, 0.00025205,,,,, 0.00383474, 5.229e-05, 0.0657057, 0.00050745, 5.52e-06, 0.00893779,, 5.297e-05, 3.3e-07,,,, 0.00684445, 3.633e-05, 3.392e-05, 0.00656145, 0.0581756, 0.00055453, 2.74e-06, 2.63e-06, 0.00087193, 0.00776024,,, 6.832e-05, 1.7e-07, 1.6e-07,,,,,, 0.00017693, 0.00024528,,,,, 7.773e-05, 0.00025974,,,, 0.00015008, 5.008e-05, 0.00041358, 2.007e-05,,,, 0.00041804, 6.741e-05,, 2.52e-05,,,, 0.00063544,,, 3.659e-05,,,,,,,,,,,,,,,,,,,,,,,,,
53,, 0.254309, 0.472118, 0.0439088, 0.0851518, 0.00041225, 0.00056506, 0.00915608, 0.0179119, 7.322e-05, 0.00010007,,,,,,, 0.0131549, 0.0208889, 0.00018827, 0.00028121, 0.00277369, 0.00451118, 2.204e-05, 3.343e-05, 0.00024169, 0.00037713,,,,, 0.00392489, 5.501e-05, 0.0702248, 0.00054051, 6.32e-06, 0.010036,, 6.106e-05, 5.3e-07,,,, 0.00705936, 3.822e-05, 3.564e-05, 0.00698696, 0.0619426, 0.0005963, 3.12e-06, 2.99e-06, 0.00097401, 0.00867595,,, 7.925e-05, 2.7e-07, 2.5e-07,,,,,, 0.00019755, 0.00027096,,,,, 7.637e-05, 0.00027248,,,, 0.00016034, 5.681e-05, 0.00046893, 2.282e-05,,,, 0.00047702, 7.616e-05,, 3.974e-05,,,, 0.00075434,,, 6.017e-05,,,,,,,,,,,,,,,,,,,,,,,,,
54,, 0.255988, 0.474077, 0.0445027, 0.0862775, 0.00043898, 0.0005995, 0.00933064, 0.0181979, 8.183e-05, 0.00011154,,,,,,, 0.0138829, 0.0218758, 0.00020684, 0.00030878, 0.00299258, 0.00483886, 2.516e-05, 3.821e-05, 0.00034015, 0.00052827,,,,, 0.00402949, 5.825e-05, 0.0749118, 0.00057489, 7.2e-06, 0.011183,, 6.9e-05, 7.9e-07,,,, 0.0072763, 4.017e-05, 3.74e-05, 0.0074332, 0.065879, 0.00064105, 3.54e-06, 3.39e-06, 0.001081, 0.00963998,,, 9.026e-05, 4e-07, 3.7e-07,,,,,, 0.00022795, 0.00030925,,,,, 7.029e-05, 0.00026571,,,, 0.00016676, 6.229e-05, 0.00051379, 2.493e-05,,,, 0.00054104, 8.549e-05,, 5.864e-05,,,, 0.00089547,,, 9.302e-05,,,,,,,,,,,,,,,,,,,,,,,,,
55,, 0.25759, 0.475711, 0.0450681, 0.0873561, 0.00046639, 0.00063515, 0.00948262, 0.018483, 9.093e-05, 0.00012361,,,,,,, 0.0147019, 0.0229628, 0.00022768, 0.00034012, 0.00323707, 0.00520245, 2.867e-05, 4.367e-05, 0.00042893, 0.00067475,,,,, 0.00413494, 6.161e-05, 0.0798698, 0.00061077, 8.19e-06, 0.0124211,, 7.78e-05, 1.06e-06,,,, 0.00749529, 4.218e-05, 3.921e-05, 0.00789869, 0.0699779, 0.00069075, 3.99e-06, 3.84e-06, 0.0011945, 0.010664,,, 0.00010254, 5.3e-07, 5e-07,,,,,, 0.00024318, 0.00032631,,,,, 7.613e-05, 0.00030342, 1.206e-05,,, 0.00017009, 6.668e-05, 0.00054976, 2.673e-05,,,, 0.00064453, 0.00010078,, 8.117e-05,,,, 0.00102306,,, 0.00012586,,,,,, 8.12e-06,,, 5.13e-06,,,,,,,,,,,,,,,,
56,, 0.259109, 0.477119, 0.0455999, 0.0883548, 0.00049454, 0.00067125, 0.00963368, 0.018767, 0.00010047, 0.00013626,,,,,,, 0.015572, 0.024099, 0.00025049, 0.00037421, 0.0034993, 0.00558689, 3.257e-05, 4.971e-05, 0.00051829, 0.00081627,,,,, 0.00424138, 6.511e-05, 0.0852395, 0.00064822, 9.31e-06, 0.0137659,, 8.754e-05, 1.36e-06,,,, 0.00771684, 4.425e-05, 4.108e-05, 0.00838245, 0.0742514, 0.00074329, 4.5e-06, 4.33e-06, 0.00131391, 0.0117411,,, 0.00011622, 6.6e-07, 6.3e-07,,,,,, 0.0002604, 0.0003455,,,,, 7.935e-05, 0.00033173, 1.318e-05,,, 0.00017858, 7.301e-05, 0.00060156, 2.942e-05,,,, 0.00074541, 0.0001153,, 0.00010464,,,, 0.00117582,,, 0.00016239,,,,,, 1.017e-05,,, 6.6e-06,,,,,,,,,,,,,,,,
57,, 0.26046, 0.478351, 0.0461051, 0.0893241, 0.0005233, 0.00070781, 0.00978351, 0.019047, 0.00011046, 0.00014938,,,,,,, 0.0165301, 0.0253612, 0.00027612, 0.0004127, 0.00378713, 0.00600664, 3.695e-05, 5.65e-05, 0.00056246, 0.00087776,,,,, 0.00435239, 6.879e-05, 0.0906868, 0.00068782, 1.054e-05, 0.015154,, 9.694e-05, 1.68e-06,,,, 0.00794728, 4.642e-05, 4.303e-05, 0.00888689, 0.0787038, 0.00079945, 5.05e-06, 4.88e-06, 0.00143911, 0.0128741,,, 0.00012952, 8.1e-07, 7.6e-07,,,,,, 0.00028159, 0.00036926,,,,, 8.2e-05, 0.00035773, 1.401e-05,,, 0.00018764, 7.969e-05, 0.00065599, 3.204e-05,,,, 0.0008341, 0.00012765,, 0.00012518,,,, 0.00137315,,, 0.00020289,,,,,, 1.259e-05,,, 8.21e-06,,,,,,,,,,,,,,,,
58,, 0.261771, 0.479371, 0.0465951, 0.0902803, 0.00055403, 0.00074676, 0.00991953, 0.0193001, 0.0001165, 0.00015678, 0.0016725,,,,,, 0.0175251, 0.0266202, 0.00030359, 0.0004538, 0.00400893, 0.00629864, 4.018e-05, 6.148e-05, 0.00058897, 0.00090921,,,,, 0.00445537, 7.248e-05, 0.0974613, 0.00072765, 1.177e-05, 0.0161809, 1.66e-06, 0.00010628, 2.07e-06,,,, 0.00816369, 4.856e-05, 4.495e-05, 0.00946468, 0.0838199, 0.00085701, 5.59e-06, 5.39e-06, 0.0015207, 0.013592, 2.5e-07, 1.45e-06, 0.00014363, 9.8e-07, 8.9e-07,,,,,, 0.00029664, 0.00038272, 5.602e-05,,,, 8.756e-05, 0.00038723, 1.493e-05,,, 0.00020265, 8.69e-05, 0.00071306, 3.464e-05,,,, 0.00088431, 0.00013339, 6.871e-05, 0.00013925,,,, 0.00148875, 5.33e-06, 0.00010426, 0.00023365,, 8.07e-06,,,, 1.445e-05,,, 9.92e-06,,,, 3.79e-06,,,,,,,,,,,,
59,, 0.26297, 0.480249, 0.0470639, 0.0911188, 0.00058464, 0.00078506, 0.010062, 0.019564, 0.00012452, 0.000167, 0.0018074,,,,,, 0.0185309, 0.0278659, 0.00033283, 0.00049765, 0.00426949, 0.00664918, 4.432e-05, 6.789e-05, 0.00062208, 0.00095033,,,,, 0.00456331, 7.667e-05, 0.10415, 0.00076978, 1.317e-05, 0.01747, 3.03e-06, 0.00011642, 2.48e-06,,,, 0.00839009, 5.08e-05, 4.697e-05, 0.010044, 0.0889339, 0.00091848, 6.2e-06, 5.98e-06, 0.0016279, 0.014551, 4.6e-07, 2.62e-06, 0.00015876, 1.17e-06, 1.04e-06,,,,,, 0.00031611, 0.00040173, 6.29e-05,,,, 9.211e-05, 0.00041658, 1.587e-05,,, 0.00021501, 9.392e-05, 0.00076903, 3.733e-05,,,, 0.00097225, 0.00014388, 0.00010765, 0.00015802,,,, 0.00165709, 8.69e-06, 0.00016974, 0.00027492,, 8.88e-06,,,, 1.67e-05,,, 1.176e-05,,,, 5.09e-06,,,,,,,,,,,,
60,, 0.264102, 0.480963, 0.0475113, 0.0919384, 0.00061607, 0.00082412, 0.0102021, 0.0198271, 0.0001327, 0.00017724, 0.00191541,,,,,, 0.0195529, 0.0291289, 0.00036417, 0.00054451, 0.00453448, 0.00700107, 4.87e-05, 7.47e-05, 0.00065462, 0.0009894,,,,, 0.00467154, 8.16e-05, 0.111179, 0.00081349, 1.471e-05, 0.0188168, 4.83e-06, 0.00012733, 2.93e-06,,,, 0.00861846, 5.311e-05, 4.903e-05, 0.0106491, 0.0942566, 0.00098321, 6.86e-06, 6.62e-06, 0.00173821, 0.0155401, 7.3e-07, 4.16e-06, 0.00017223, 1.37e-06, 1.21e-06,,,,,, 0.00033112, 0.00041429, 6.904e-05,,,, 9.639e-05, 0.0004451, 1.678e-05,,, 0.0002295, 0.00010185, 0.00083197, 4.04e-05,,,, 0.00105504, 0.00015253, 0.00016903, 0.00017602,,,, 0.00180887, 1.417e-05, 0.00027615, 0.00031642,, 9.47e-06,,,, 1.883e-05,,, 1.403e-05,,,, 6.43e-06,,,,,,,,,,,,
61,, 0.26528, 0.48137, 0.047918, 0.09273, 0.00064842, 0.00086443, 0.010343, 0.020089, 0.00014108, 0.00018769, 0.0020279,,,,,, 0.0206102, 0.0304012, 0.0003975, 0.00059434, 0.00480574, 0.00735056, 5.335e-05, 8.193e-05, 0.00068683, 0.00102631,,,,, 0.00478025, 8.676e-05, 0.118501, 0.00085886, 1.638e-05, 0.0202152, 7.14e-06, 0.00013849, 3.4e-06,,,, 0.008849, 5.586e-05, 5.115e-05, 0.011279, 0.099802, 0.0010513, 7.57e-06, 7.31e-06, 0.0018517, 0.016558, 1.07e-06, 6.12e-06, 0.0001866, 1.58e-06, 1.37e-06,,,,,, 0.00035355, 0.00043536, 7.607e-05,,,, 0.00010024, 0.00047103, 1.761e-05,,, 0.00024067, 0.00010828, 0.00088223, 4.291e-05,,,, 0.00114228, 0.00016174, 0.00026995, 0.00019486,,,, 0.00190297, 2.299e-05, 0.00044706, 0.00035369,, 9.17e-06,,,, 2.096e-05,,, 1.631e-05,,,, 7.81e-06,,,,,,,,,,,,
62,, 0.266251, 0.481921, 0.0482941, 0.0934372, 0.00068078, 0.00090428, 0.010473, 0.020331, 0.00014947, 0.00019803, 0.0021139,,,,,, 0.0217351, 0.0317062, 0.00043375, 0.00064876, 0.00509003, 0.00771405, 5.84e-05, 8.978e-05, 0.00072013, 0.00106361,,,,, 0.00491137, 9.214e-05, 0.126459, 0.00090588, 1.825e-05, 0.0217149, 1.007e-05, 0.00014856, 3.9e-06,,,, 0.00908095, 5.874e-05, 5.369e-05, 0.0119329, 0.105569, 0.00112269, 8.34e-06, 8.05e-06, 0.00196849, 0.0176049, 1.5e-06, 8.59e-06, 0.00020187, 1.8e-06, 1.56e-06,,,,,, 0.00038276, 0.00046343, 8.446e-05,,,, 0.00010421, 0.00049771, 1.847e-05,,, 0.00025533, 0.00011626, 0.0009448, 4.591e-05,,,, 0.00118431, 0.00016276, 0.0004083, 0.0002066,,,, 0.00197442, 3.573e-05, 0.00069385, 0.00038625,, 9.93e-06,,,, 2.302e-05,,, 1.876e-05,,,, 9.02e-06,,,,,,,,,,,,
63,, 0.26733, 0.48213, 0.048663, 0.094149, 0.00071418, 0.00094502, 0.010602, 0.020569, 0.00015808, 0.00020855, 0.0021898,,,,,, 0.0227671, 0.0328561, 0.00046984, 0.00070298, 0.00535512, 0.00803462, 6.343e-05, 9.762e-05, 0.00074948, 0.0010939,,,,, 0.00504328, 9.775e-05, 0.134449, 0.00095456, 2.021e-05, 0.0232319, 1.387e-05, 0.00015917, 4.45e-06,,,, 0.00931463, 6.171e-05, 5.642e-05, 0.01261, 0.11153, 0.0011977, 9.16e-06, 8.86e-06, 0.00209041, 0.0186861, 2.02e-06, 1.156e-05, 0.00021812, 2.04e-06, 1.76e-06,,,,,, 0.0004153, 0.00049417, 9.379e-05,,,, 0.00010764, 0.00052137, 1.923e-05,,, 0.00027151, 0.00012484, 0.00101197, 4.895e-05,,,, 0.00119238, 0.00016013, 0.0006027, 0.00021197,,,, 0.00196802, 5.419e-05, 0.00105073, 0.00040776,, 1.067e-05,,,, 2.509e-05,,, 2.144e-05,,,, 9.95e-06,,,,,,,,,,,,
64,, 0.26822, 0.48224, 0.049006, 0.0947868, 0.00074761, 0.00098499, 0.010769, 0.020904, 0.00016847, 0.00022141, 0.002268, 0.0046737,,,,, 0.0239379, 0.0341518, 0.00051066, 0.00076406, 0.00567896, 0.00844465, 6.978e-05, 0.00010757, 0.00078443, 0.00113049,,,,, 0.00518024, 0.00010464, 0.142311, 0.00100571, 2.241e-05, 0.0249912, 1.856e-05, 0.00017046, 4.98e-06,,,, 0.00955798, 6.483e-05, 5.928e-05, 0.013289, 0.11753, 0.0012774, 1.007e-05, 9.76e-06, 0.00223329, 0.019982, 2.66e-06, 1.53e-05, 0.00023557, 2.28e-06, 1.97e-06,,,,,, 0.00044028, 0.00051533, 0.00010088, 0.00011087,,, 0.0001111, 0.00054867, 2.019e-05,,, 0.00028765, 0.00013437, 0.00108742, 5.26e-05,,,, 0.00117784, 0.00015302, 0.00084912, 0.00021332, 2.851e-05,,, 0.00190455, 7.761e-05, 0.00150295, 0.00040978,, 1.156e-05, 8.9e-06,,, 2.771e-05,,, 2.423e-05,,,, 1.062e-05, 1.7e-06,,, 1.897e-05,,,,,,,,
65,, 0.26919, 0.48248, 0.049349, 0.0954509, 0.00078268, 0.0010271, 0.010829, 0.020988, 0.00017564, 0.00022969, 0.0023238, 0.0048043,,,,, 0.025177, 0.035521, 0.00055512, 0.0008307, 0.0059649, 0.00876939, 7.523e-05, 0.00011602, 0.00081758, 0.0011636,,,,, 0.00530998, 0.00011184, 0.15142, 0.001057, 2.466e-05, 0.0264439, 2.405e-05, 0.00018208, 5.55e-06,,,, 0.00982756, 6.793e-05, 6.213e-05, 0.014034, 0.12408, 0.0013584, 1.098e-05, 1.063e-05, 0.00234109, 0.0209389, 3.43e-06, 1.965e-05, 0.00025364, 2.53e-06, 2.17e-06,,,,,, 0.00047864, 0.00054913, 0.00010936, 0.00011818,,, 0.00011512, 0.00057026, 2.083e-05,,, 0.00031265, 0.00014606, 0.00117826, 5.658e-05,,,, 0.0010875, 0.00013789, 0.00111883, 0.00020139, 2.632e-05,,, 0.00179467, 0.00010722, 0.00207469, 0.00040698,, 1.237e-05, 9.23e-06,,, 2.863e-05,,, 2.689e-05,,,, 1.074e-05, 1.7e-06,,, 2.053e-05,,,,,,,,
66,, 0.27004, 0.48259, 0.04967, 0.096017, 0.00081783, 0.0010689, 0.010933, 0.021179, 0.00018463, 0.00024037, 0.0023808, 0.0049381,,,,, 0.0262327, 0.0365676, 0.00059722, 0.00089396, 0.00623213, 0.0090669, 8.106e-05, 0.00012517, 0.00084567, 0.00118769,,,,, 0.00544567, 0.00011951, 0.160749, 0.00111119, 2.721e-05, 0.0281968, 3.048e-05, 0.00019444, 6.11e-06,,,, 0.010108, 7.118e-05, 6.511e-05, 0.01478, 0.13064, 0.0014445, 1.199e-05, 1.162e-05, 0.00247241, 0.0221091, 4.33e-06, 2.456e-05, 0.00027299, 2.79e-06, 2.37e-06,,,,,, 0.00052651, 0.00059262, 0.00012098, 0.00012689,,, 0.00011793, 0.00058983, 2.148e-05,,, 0.0003341, 0.00015709, 0.00126275, 6.049e-05,,,, 0.00101231, 0.0001252, 0.00144874, 0.00019161, 2.411e-05,,, 0.00163233, 0.00014025, 0.002712, 0.0003865,, 1.335e-05, 9.68e-06,,, 3.039e-05,,, 3.001e-05,,,, 1.077e-05, 1.69e-06,,, 2.005e-05,,,,,,,,
67,, 0.270679, 0.482087, 0.0499337, 0.0965175, 0.00085284, 0.00111029, 0.0110229, 0.0213439, 0.00019363, 0.00025092, 0.00243829, 0.00507127,,,,, 0.027578, 0.037978, 0.00064811, 0.00097015, 0.00657069, 0.00945579, 8.809e-05, 0.00013621, 0.00088261, 0.0012225,,,,, 0.00558209, 0.00012757, 0.17, 0.001167, 2.99e-05, 0.0299479, 3.808e-05, 0.00020742, 6.67e-06,,,, 0.0103919, 7.463e-05, 6.819e-05, 0.0155479, 0.137399, 0.00153739, 1.306e-05, 1.267e-05, 0.00260558, 0.0233078, 5.37e-06, 3.056e-05, 0.00029348, 3e-06, 2.58e-06,,,,,, 0.00056098, 0.00061909, 0.00012864, 0.00013192,,, 0.00012198, 0.00061513, 2.234e-05,,, 0.00035695, 0.00016862, 0.00135176, 6.462e-05,,,, 0.00092587, 0.00011116, 0.00180839, 0.00018084, 2.189e-05,,, 0.00146741, 0.00017449, 0.00337313, 0.0003549,, 1.431e-05, 1.007e-05,,, 3.211e-05,,, 3.3e-05,,,, 1.076e-05, 1.67e-06,,, 1.953e-05,,,,,,,,
68,, 0.271691, 0.482122, 0.0502172, 0.0970586, 0.00088931, 0.00115261, 0.0111171, 0.0215141, 0.00020294, 0.0002618, 0.00247651, 0.00513622,,,,, 0.028847, 0.039247, 0.00069984, 0.0010476, 0.0068937, 0.00980791, 9.525e-05, 0.00014745, 0.00091685, 0.0012527,,,,, 0.00571951, 0.00013692, 0.17962, 0.0012246, 3.275e-05, 0.0317611, 4.622e-05, 0.00022051, 7.27e-06,,,, 0.0106781, 7.874e-05, 7.157e-05, 0.0163411, 0.144331, 0.00163601, 1.42e-05, 1.379e-05, 0.00274402, 0.0245452, 6.65e-06, 3.729e-05, 0.00031517, 3.22e-06, 2.81e-06,,,,,, 0.00060593, 0.00065512, 0.00013767, 0.00013906,,, 0.00012543, 0.00063683, 2.308e-05,,, 0.00038169, 0.000181, 0.0014465, 6.905e-05,,,, 0.00081899, 9.624e-05, 0.00214141, 0.00016511, 1.937e-05,,, 0.00131907, 0.00021246, 0.00410792, 0.00033142,, 1.536e-05, 1.044e-05,,, 3.295e-05,,, 3.643e-05,,,, 1.062e-05, 1.63e-06,,, 1.929e-05,,,,,,,,
69,, 0.272659, 0.482018, 0.0505098, 0.0976196, 0.00092645, 0.0011956, 0.011212, 0.0216849, 0.00021247, 0.00027266, 0.00250829, 0.00520078,,,,, 0.0263861, 0.0354291, 0.00066007, 0.00098821, 0.00631962, 0.00888662, 8.995e-05, 0.00013931, 0.00083241, 0.0011215,,,,, 0.0058581, 0.00014745, 0.1894, 0.0012842, 3.585e-05, 0.033639, 5.592e-05, 0.00023376, 7.92e-06,,,, 0.010968, 8.3e-05, 7.545e-05, 0.017151, 0.15146, 0.0017393, 1.54e-05, 1.498e-05, 0.0028846, 0.025796, 8.08e-06, 4.538e-05, 0.00033811, 3.45e-06, 3.05e-06,,,,,, 0.00065449, 0.000693, 0.00014738, 0.00014665,,, 0.00012837, 0.00065509, 2.372e-05,,, 0.00040922, 0.00019456, 0.00154973, 7.39e-05,,,, 0.00074213, 8.538e-05, 0.00250503, 0.00015345, 1.756e-05,,, 0.00119179, 0.0002478, 0.00479424, 0.00030838,, 1.633e-05, 1.068e-05,,, 3.438e-05,,, 3.969e-05,,,, 1.079e-05, 1.64e-06,,, 1.931e-05,,,,,,,,
70,, 0.27349, 0.481949, 0.0507949, 0.0981499, 0.00096431, 0.0012387, 0.011298, 0.021853, 0.0002221, 0.00028376, 0.00254, 0.00526539,,,,, 0.0227581, 0.0301641, 0.00058704, 0.00087919, 0.00546421, 0.00759292, 8.007e-05, 0.00012419, 0.00071323, 0.00094622,,,,, 0.00600413, 0.00015861, 0.199491, 0.00134571, 3.912e-05, 0.0355452, 6.631e-05, 0.00024759, 8.59e-06,,,, 0.0112631, 8.742e-05, 7.948e-05, 0.0179861, 0.158741, 0.00184731, 1.669e-05, 1.625e-05, 0.00302842, 0.0271002, 9.73e-06, 5.453e-05, 0.00036233, 3.7e-06, 3.32e-06,,,,,, 0.00070644, 0.00073183, 0.00015767, 0.00015458,,, 0.00013344, 0.00068395, 2.475e-05,,, 0.00043776, 0.00020844, 0.00165582, 7.89e-05,,,, 0.00068061, 7.668e-05, 0.00286894, 0.00014428, 1.611e-05,,, 0.00108442, 0.00028269, 0.00547451, 0.00028419,, 1.743e-05, 1.098e-05,,, 3.569e-05,,, 4.287e-05,,,, 1.108e-05, 1.67e-06,,, 1.968e-05,,,,,,,,
71,, 0.274342, 0.481734, 0.0510464, 0.0986287, 0.00100211, 0.00128131, 0.0114131, 0.0220662, 0.00023334, 0.00029673, 0.00257262, 0.00533144,,,,, 0.0235998, 0.0308577, 0.0006272, 0.00093917, 0.00569505, 0.00782273, 8.629e-05, 0.00013402, 0.00077935, 0.00102859, 3.6e-07,,,, 0.00618993, 0.00017041, 0.209871, 0.00140901, 4.279e-05, 0.0377672, 7.767e-05, 0.00026199, 9.24e-06, 0.00016555,,, 0.0115589, 9.202e-05, 8.366e-05, 0.0187928, 0.165949, 0.00196038, 1.805e-05, 1.763e-05, 0.00319057, 0.0285578, 1.138e-05, 6.386e-05, 0.0003879, 3.96e-06, 3.6e-06, 1.389e-05,,,,, 0.00078623, 0.0007973, 0.00017521, 0.00016929,,, 0.00012651, 0.00065328, 2.372e-05, 3.24e-06,, 0.00047441, 0.000227, 0.00179831, 8.597e-05, 1.08e-06, 8.07e-06,, 0.00061681, 6.808e-05, 0.00314926, 0.000134, 1.471e-05,,, 0.00102217, 0.00032155, 0.00623469, 0.00027128,, 1.866e-05, 1.134e-05,,, 3.713e-05,,, 4.653e-05,,,, 1.191e-05, 1.77e-06,,, 1.988e-05,,,,,,,,
72,, 0.275178, 0.481456, 0.0512545, 0.099064, 0.00103999, 0.00132379, 0.0115269, 0.0223138, 0.00024503, 0.00031036, 0.00260488, 0.00539725, 2.71e-06,,,, 0.0240397, 0.0309926, 0.00065812, 0.00098514, 0.00583323, 0.00792311, 9.13e-05, 0.00014208, 0.00083458, 0.00109269, 9.3e-07,,,, 0.00637811, 0.00018288, 0.21966, 0.0014741, 4.659e-05, 0.0399631, 8.99e-05, 0.00027698, 9.93e-06, 0.00042695,,, 0.011859, 9.678e-05, 8.8e-05, 0.019623, 0.17316, 0.0020806, 1.951e-05, 1.909e-05, 0.0033594, 0.030091, 1.319e-05, 7.405e-05, 0.00041487, 4.24e-06, 3.9e-06, 3.56e-05,,,,, 0.00083082, 0.00082426, 0.00018481, 0.00017604,,, 0.00011247, 0.0005849, 2.133e-05, 7.1e-06,, 0.00051816, 0.00024909, 0.00196913, 9.458e-05, 2.89e-06, 2.19e-05,, 0.00056, 6.057e-05, 0.00336256, 0.00012465, 1.345e-05,,, 0.00100274, 0.00036361, 0.00706239, 0.00026804,, 2.003e-05, 1.173e-05,,, 3.829e-05, 2.7e-07,, 5.121e-05, 1.6e-07,,, 1.259e-05, 1.85e-06,,, 2.095e-05,,,,,,,,
